id,name,is_potentially_hazardous_asteroid,estimated_diameter_min_km,estimated_diameter_max_km,relative_velocity_km_sec,miss_distance_km,searching_date
2022771,22771 (1999 CU3),False,1.0778416872,2.4101272816,24.9379222113,54089407.93122022,2023-03-31
3384484,(2007 RY19),False,0.0788052183,0.1762138252,18.8645326265,53934084.29250469,2023-03-31
3745898,(2016 EG56),False,0.0802703167,0.1794898848,4.5356216447,32804284.77675572,2023-03-31
3763271,(2016 VS),False,0.0088014652,0.0196806745,9.8427390727,42242201.12833225,2023-03-31
3768616,(2017 CO1),False,0.0555334912,0.1241766613,10.1607001493,73466184.98936206,2023-03-31
3773596,(2017 FO127),False,0.0116025908,0.0259441818,9.9034278631,15750294.892053744,2023-03-31
3802568,(2018 GE3),False,0.046190746,0.1032856481,39.6813533486,49461260.88348762,2023-03-31
3826760,(2018 PK20),False,0.0175612318,0.0392681082,7.0128305444,33443358.76919117,2023-03-31
3830497,(2018 SC),False,0.0066765941,0.0149293183,22.4186272544,44045857.45340572,2023-03-31
3841620,(2019 HM3),False,0.0105816886,0.023661375,9.7977785365,23083364.51535715,2023-03-31
3843575,(2019 QQ),False,0.0242412481,0.0542050786,17.8141748095,32776961.174593832,2023-03-31
54087576,(2020 VN1),False,0.0068953287,0.0154184238,6.4971263116,20231552.823458645,2023-03-31
54265773,(2022 FX1),False,0.0185590173,0.0414992243,9.5066504293,9193583.92498331,2023-03-31
54291603,(2022 OU1),False,0.0983003302,0.2198062205,7.7825864838,69808438.64865862,2023-03-31
54308103,(2022 SG18),False,0.0342416731,0.0765667087,17.1239136666,35822560.19699526,2023-03-31
54317874,(2022 UB4),False,0.1067959975,0.2388031102,27.2802670394,50333438.845428966,2023-03-31
54347998,(2023 ER2),False,0.0383490824,0.0857511551,7.372107918,14548230.229655523,2023-03-31
54351828,(2023 FO3),False,0.012472542,0.0278894519,10.1808928585,2524935.708414536,2023-03-31
3179347,(2004 GA),False,0.2412986969,0.5395602892,10.4053171284,11602971.36059387,2023-03-30
3309690,(2005 YT55),False,0.1881719895,0.42076536,0.8515797537,72957187.69127245,2023-03-30
3538600,(2010 OE22),False,0.1460679643,0.3266178974,24.7804618804,67602908.21553726,2023-03-30
3584587,(2011 UB276),False,0.0608912622,0.1361570015,19.6068662524,64223520.47159661,2023-03-30
3666678,(2014 FQ37),False,0.1170994827,0.2618424035,18.050408522,24277906.693741783,2023-03-30
3717082,(2015 HR11),True,0.1748054532,0.3908768761,15.6883483348,70343154.46848352,2023-03-30
3748566,(2016 GH1),False,0.008405334,0.0187948982,5.819943064,2945639.311404849,2023-03-30
3751525,(2016 GA207),False,0.0530340723,0.1185877909,6.6313420702,43969350.51464457,2023-03-30
3761033,(2016 TZ56),False,0.3635423218,0.8129053443,28.7346368613,55484035.5852337,2023-03-30
3781725,(2017 SE12),False,0.0110803882,0.0247765013,8.392397783,1981811.680467123,2023-03-30
3781908,(2017 SN17),False,0.0840533402,0.1879489824,17.108135084,59323310.66841995,2023-03-30
3829440,(2018 RF6),False,0.02658,0.0594346868,20.0796112532,68473542.52193744,2023-03-30
3841185,(2019 GX19),False,0.2390864572,0.5346135707,15.2934046457,50790484.887289435,2023-03-30
54016292,(2020 FL2),False,0.0160160338,0.0358129403,15.5092371923,23470080.080674946,2023-03-30
54016471,(2020 GM1),False,0.0483676488,0.1081533507,34.8785398472,45947695.7731072,2023-03-30
54132425,(2021 FY1),False,0.0183888672,0.0411187571,10.2961809194,28859469.712745734,2023-03-30
54142823,(2021 AD24),False,0.0705594158,0.1577756503,4.9346017332,13788497.177584358,2023-03-30
2564883,564883 (2016 TZ56),False,0.365220357,0.8166575449,28.7346357931,55484030.54378548,2023-03-30
54195874,(2021 RO10),False,0.0274507982,0.0613818507,9.7876083002,23490665.01686311,2023-03-30
54319152,(2022 UC6),False,0.2515098375,0.5623930936,13.4517952473,65261412.796228595,2023-03-30
54322881,(2022 UL22),False,0.0360209346,0.0805452583,8.3008415855,14807822.79089234,2023-03-30
54347984,(2023 EB2),False,0.0600834659,0.134350714,21.3227892847,14322447.52006827,2023-03-30
54347992,(2023 EK2),False,0.0620518847,0.1387522322,15.4079047167,4947505.214656526,2023-03-30
54350431,(2023 FR1),False,0.0327005439,0.0731206391,7.9297031698,7274388.452575932,2023-03-30
54352304,(2023 FQ4),False,0.0076059765,0.0170074804,7.4689323799,1539801.346525681,2023-03-30
54352944,(2023 FH7),False,0.0047310221,0.010578887,8.6855437404,165373.683461276,2023-03-30
3549696,(2010 UP),False,0.0268259417,0.0599846292,15.9033855759,68501414.86404629,2023-03-29
3772399,(2017 FB65),False,0.022108281,0.0494356193,15.2918626962,23160193.74776943,2023-03-29
3829452,(2018 RW6),False,0.1677084622,0.3750075218,16.2357008181,58817382.310794234,2023-03-29
3893486,(2019 WN2),False,0.0080270317,0.0179489885,5.9877309738,60137708.60728313,2023-03-29
54016279,(2020 BR16),False,0.0313729225,0.0701519874,6.0902484213,28814874.722336818,2023-03-29
